شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
219935,7888,7475550000,47797200,2319,818000,492,663180000,504000,846,47310000,1051500,6248,49758037922,18433500,7806,65334498111,25599,68604200
310769,8545,6789850000,53346510,2837,1321500,399,317898000,540000,1216,43000000,1704000,5814,32526022027,17597000,6739,41842894992,25550,74509010
386292,8168,6596660000,52097350,3747,1725500,377,260274000,505500,1215,42940000,1692000,5492,26287240178,16794000,6516,38138801414,25515,72814350
385733,10197,7230290000,58599340,3803,1827500,298,110639000,405000,1907,50240000,2754000,4268,19877937483,12960000,5031,30034308883,25504,76545840
386063,8028,5699280000,48089855,3976,1980500,374,124969000,556500,1682,54340000,2478000,5233,28220994824,15817000,6200,39493855824,25493,68921855
384976,6718,6886900000,46153300,2731,974000,556,661294000,595500,615,27490000,721500,6478,51431328790,19475000,8392,69617965612,25490,67919300
385746,9883,7693750000,63803975,3117,1519500,176,109072000,256500,1905,74620000,2800500,4711,25068763766,14313500,5654,33842808355,25446,82693975
364387,7649,5962490000,48266400,4065,1954000,447,205030000,628500,1530,50410000,2197500,5420,27745998946,16504500,6321,36930863050,25432,69550900
384083,7813,8541200000,54763800,2454,914000,505,601123000,498000,520,31120000,600000,6405,50922471839,19272000,7718,65815196689,25415,76047800
384794,8631,6633360000,53747285,3511,1679500,597,304676000,849000,929,38410000,1344000,5500,27179492495,16786000,6241,34482980600,25409,74405785
315832,9949,7544020000,62341890,4463,2182500,375,103097000,547500,1944,51180000,2817000,3971,20926466823,11999000,4686,30004998296,25388,79887890
221727,7990,8400500000,52971575,2435,796000,578,545311000,556500,414,22750000,484500,6248,51709071588,18468000,7700,65791876737,25365,73276575
386200,9074,6127580000,49206755,3505,1689000,376,184202000,547500,1451,50590000,2115000,5031,26028442082,15329000,5927,36757664152,25364,68887255
386262,10285,7719510000,64924955,3999,1980000,482,167071000,718500,1797,50640000,2688000,3990,17965641984,12026000,4802,25773086998,25355,82337455
384684,10373,8403030000,68890545,3907,1892000,269,84546000,375000,1449,37970000,2088000,4254,23403475833,12923000,5091,31476096813,25343,86168545
386329,10070,7489250000,62766550,3900,1929000,193,99196000,289500,1871,56210000,2781000,4228,16998584582,12791000,5004,24888821229,25266,80557050
385304,7331,6611690000,54617685,3210,1569000,220,142213000,312000,1100,33840000,1615500,6217,35151851519,18896500,7179,48516853573,25257,77010685
384808,11869,7793650000,64618700,4000,1969000,216,80137000,312000,1682,44470000,2506500,3386,13564835980,10217500,4084,19575218468,25237,79623700
279193,6974,7236150000,45827325,2741,971500,838,740641000,900000,578,26420000,660000,6307,42834057450,18697000,7783,58642024214,25221,67055825
224723,8057,6460060000,46986385,2994,1317000,466,256636000,604500,785,38230000,1030500,5986,39027805740,18337000,6915,49848880961,25203,68275385
386039,8382,6007530000,50520685,3421,1693500,480,137496000,705000,1176,40840000,1753500,5406,27800592911,16312000,6327,37716671756,25192,70984685
385639,7905,6246560000,47836725,2921,1240000,329,221391000,438000,1450,64050000,1971000,5631,34443518561,17370000,6932,46897787477,25168,68855725
364390,7709,6409620000,50141925,3649,1678500,401,260393000,537000,1229,44660000,1729500,5623,29635704443,17241000,6545,39658786878,25156,71327925
213838,7694,8366900000,53153900,2530,927500,814,1073566000,766500,518,32420000,615000,6120,48903269034,18386500,7478,61660044454,25154,73849400
224808,7681,7860950000,45634375,2612,757000,554,624951000,460500,394,20240000,415500,5952,51570154958,17233500,7900,68579735274,25093,64500875
296041,8343,8422650000,58058400,2415,904500,308,185396000,321000,774,34610000,942000,5903,41831187464,18065000,7310,54607455017,25053,78290900
384321,7555,6370700000,43055475,2602,968500,526,360925000,556500,712,33320000,841500,6026,44058855095,18128500,7626,59033658790,25047,63550475
222085,8043,8188850000,54770175,2651,952500,680,810682000,672000,553,28560000,654000,5804,43249500929,17741500,7277,58202167334,25008,74790175
386318,8514,5724160000,47507095,3698,1810500,179,61296000,262500,2030,62840000,2953500,4822,21159115497,14653500,5738,31494029159,24981,67187095
217773,7531,5474800000,34119850,2095,723000,329,246191000,318000,887,34000000,1066500,6176,45255292040,18195000,7950,59733009646,24968,54422350
386236,7640,7572500000,51533800,2556,999500,407,333761000,462000,721,36450000,909000,6203,44506467677,18758500,7430,55510634238,24957,72662800
