شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
385634,2075,1453150000,10653900,694,251000,93,49278000,103500,292,10560000,405000,1013,5760430634,3052500,1397,7076474337,5564,14465900
385635,6926,5402600000,42272625,2464,969000,113,44156000,135000,1172,41610000,1660500,2328,13920438076,7183000,3282,19788526442,16285,52220125
224428,4103,3240310000,23269940,1648,575000,467,821073000,430500,676,21210000,837000,1655,8195618427,5195500,2346,12297986815,10895,30307940
224386,967,660570000,4029170,560,141500,103,96960000,81000,156,6410000,177000,562,2642521591,1657500,1289,3806523425,3637,6086170
276574,948,506000000,4002650,427,197000,29,9319000,42000,296,9680000,435000,252,1081241200,765500,334,1521010200,2286,5442150
224826,1469,1126150000,6965750,750,193000,143,86671000,150000,202,8550000,252000,811,6179789387,2639000,1444,7759163052,4819,10199750
224819,2323,2117750000,14056535,870,230500,202,190363000,166500,197,9410000,243000,1125,8555165158,3482500,1847,12562540702,6564,18179035
224820,2658,2326300000,16749250,1126,356000,179,165838000,231000,314,16510000,396000,1282,9546646611,4042500,2074,13125890142,7633,21774750
220625,4457,3310600000,22249600,1647,542000,357,315427000,393000,516,17910000,675000,2351,16040849660,7328500,3510,20941340537,12838,31188100
215630,1664,1388130000,8660820,898,226500,193,161299000,228000,163,7140000,208500,883,7521257436,2800000,1570,10319709638,5371,12123820
215196,5795,3115750000,23888825,1686,666500,316,323873000,381000,720,24750000,1017000,1430,9261203967,4319500,2197,12320464441,12144,30272825
223713,2182,1751150000,12874100,769,249000,186,128348000,205500,214,8580000,273000,770,5846973041,2418000,1372,9928356065,5493,16019600
279701,6176,4501700000,33525275,2043,772500,185,115069000,256500,831,27500000,1120500,2190,13590017234,6728500,3165,19833924771,14590,42403275
284769,1747,1550500000,10653475,819,273500,217,316253000,285000,256,10250000,339000,1161,8665325062,3642500,1712,11998002865,5912,15193475
309183,6849,4987380000,36476050,2750,991000,155,90253000,204000,776,29900000,960000,3176,21494247831,9710500,4471,31364614982,18177,48341550
296752,4383,2626950000,19491775,1406,510000,415,504265000,546000,547,21010000,747000,1761,12388352300,5539500,2821,17609475316,11333,26834275
385636,3338,2709550000,19934625,1579,560000,152,145321000,175500,304,11570000,415500,1407,10080250296,4557500,2294,14811262277,9074,25643125
226799,3560,2977290000,21929405,1305,492500,146,66102000,162000,365,18240000,484500,1741,11219335540,5348500,2391,14811607079,9508,28416905
384692,264,246450000,1499995,109,38500,76,20064000,31500,16,1160000,19500,222,998016197,655500,266,1303306197,953,2244995
224472,3411,2866800000,15468300,1534,319000,243,96705000,231000,417,18960000,456000,1755,11158542375,5357000,2613,16420470077,9973,21831300
223083,649,662900000,5227500,200,86000,15,6874000,19500,149,9220000,207000,182,1078492710,570500,218,2126842710,1413,6110500
224426,3095,2258180000,16194370,1362,411000,195,136118000,213000,393,16010000,517500,1226,10098420659,3725500,2258,16379985441,8529,21061370
224818,5511,4821420000,35422135,2168,848000,420,290730000,531000,814,38730000,1086000,3989,27355751082,12251500,5214,38215937409,18116,50138635
