شماره ترمینال,SumOfتعداد برداشت وجه,SumOfمبلغ برداشت وجه,SumOfکارمزد برداشت وجه,SumOfتعداد مانده گیری,SumOfکارمزد مانده گیری,SumOfتعداد پرداخت قبض,SumOfمبلغ پرداخت قبض,SumOfکارمزد شتابی پرداخت قبض,SumOfتعداد خرید شارژ,SumOfمبلغ خرید شارژ,SumOfکارمزد شتابی خرید شارژ,SumOfتعداد انتقال وجه,SumOfمبلغ انتقال وجه,SumOfکارمزد شتابی انتقال وجه,SumOfتعداد سایر تراکنش ها,SumOfمبلغ سایر تراکنش ها,tedad_kol,Expr1
315201,3657,2470780000,18520055,1180,523500,134,64576000,169500,269,12830000,366000,2617,15109824627,8109500,3124,19518315154,10981,27688555
386202,3360,2614880000,18081625,1166,429000,211,139119000,222000,311,15440000,426000,2563,17284357713,7642500,3340,24391964402,10951,26801125
385672,3131,3455400000,21596800,1199,406500,271,514355000,231000,364,18330000,421500,2694,23595167089,8035500,3284,30759006114,10943,30691300
374330,4632,3426860000,28587285,1886,927000,169,54228000,252000,659,16910000,969000,1643,7924714000,5005000,1950,11493764042,10939,35740285
224851,3513,2101350000,15147000,1534,541500,64,37409000,76500,576,19530000,787500,2122,11826730480,6547000,3094,15721048889,10903,23099500
216553,4077,3435230000,25595625,1509,551000,186,65456000,216000,544,19990000,753000,1852,13298905362,5823500,2682,18329802907,10850,32939125
296395,3531,3027420000,21966210,1401,640500,161,121185000,207000,470,15990000,568500,2442,12343935736,7336500,2843,15971705990,10848,30718710
311373,2885,2728950000,17409700,1211,382000,380,284551000,393000,258,13340000,313500,2650,21598011019,7967500,3427,28924880061,10811,26465700
216628,3932,3123100000,21023475,1491,436500,235,112819000,238500,400,11570000,499500,1830,12570147853,5502000,2902,18509898807,10790,27699975
386564,4221,3357870000,27627890,1758,861500,84,32987000,126000,546,15880000,801000,1858,10820527630,5620000,2264,17396915393,10731,35036390
217480,3235,2751000000,18767150,1241,418000,109,52364000,105000,331,10980000,406500,2421,18109161443,7550500,3381,30183631650,10718,27247150
224820,3724,3126750000,23323575,1294,430000,218,764182000,252000,359,17460000,468000,2038,14793979235,6382000,3056,22775379836,10689,30855575
224552,3293,2847800000,15138925,1310,275500,267,215948000,216000,209,9910000,234000,2172,20481858038,6335000,3361,27116730215,10612,22199425
385774,2816,1745830000,14659780,1510,740500,285,106011000,424500,467,18860000,687000,2527,12595913579,7635000,3004,16921327273,10609,24146780
386351,4546,2564430000,20924960,1595,774500,113,44827000,160500,759,19650000,1087500,1589,7382331067,4864000,1905,9730863817,10507,27811460
310203,3141,2777450000,17493425,1109,329000,337,389846000,364500,248,11950000,310500,2426,18490661092,7218000,3216,26193350939,10477,25715425
386055,4414,3381770000,28263945,1324,643000,275,94024000,409500,593,19480000,873000,1738,9855018190,5293500,2122,13107863609,10466,35482945
224827,3456,3178820000,20973240,1236,358000,226,154030000,228000,315,16620000,396000,2159,16951137205,6599500,3053,25288058891,10445,28554740
386536,3812,2592530000,20920115,1453,694000,106,51238000,151500,668,21120000,931500,2039,11088223547,6230000,2359,13946256433,10437,28927115
